Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971237.479, datetime.datetime(2018, 6, 14, 15, 43, 57, 479000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971238.468, datetime.datetime(2018, 6, 14, 15, 43, 58, 468000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971239.487, datetime.datetime(2018, 6, 14, 15, 43, 59, 487000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971240.505, datetime.datetime(2018, 6, 14, 15, 44, 0, 505000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971241.502, datetime.datetime(2018, 6, 14, 15, 44, 1, 502000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971242.505, datetime.datetime(2018, 6, 14, 15, 44, 2, 505000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971243.507, datetime.datetime(2018, 6, 14, 15, 44, 3, 507000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971244.517, datetime.datetime(2018, 6, 14, 15, 44, 4, 517000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971245.507, datetime.datetime(2018, 6, 14, 15, 44, 5, 507000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971246.533, datetime.datetime(2018, 6, 14, 15, 44, 6, 533000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971247.535, datetime.datetime(2018, 6, 14, 15, 44, 7, 535000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971248.546, datetime.datetime(2018, 6, 14, 15, 44, 8, 546000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971249.558, datetime.datetime(2018, 6, 14, 15, 44, 9, 558000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971250.56, datetime.datetime(2018, 6, 14, 15, 44, 10, 560000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971251.571, datetime.datetime(2018, 6, 14, 15, 44, 11, 571000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971252.574, datetime.datetime(2018, 6, 14, 15, 44, 12, 574000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971253.575, datetime.datetime(2018, 6, 14, 15, 44, 13, 575000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971254.582, datetime.datetime(2018, 6, 14, 15, 44, 14, 582000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971255.582, datetime.datetime(2018, 6, 14, 15, 44, 15, 582000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971256.584, datetime.datetime(2018, 6, 14, 15, 44, 16, 584000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971257.586, datetime.datetime(2018, 6, 14, 15, 44, 17, 586000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971258.588, datetime.datetime(2018, 6, 14, 15, 44, 18, 588000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971259.591, datetime.datetime(2018, 6, 14, 15, 44, 19, 591000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971260.603, datetime.datetime(2018, 6, 14, 15, 44, 20, 603000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971261.622, datetime.datetime(2018, 6, 14, 15, 44, 21, 622000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971262.623, datetime.datetime(2018, 6, 14, 15, 44, 22, 623000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971263.625, datetime.datetime(2018, 6, 14, 15, 44, 23, 625000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971264.628, datetime.datetime(2018, 6, 14, 15, 44, 24, 628000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 3.34, 1528971265.622, datetime.datetime(2018, 6, 14, 15, 44, 25, 622000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971325.081, datetime.datetime(2018, 6, 14, 15, 45, 25, 81000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971326.083, datetime.datetime(2018, 6, 14, 15, 45, 26, 83000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971327.098, datetime.datetime(2018, 6, 14, 15, 45, 27, 98000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971328.1, datetime.datetime(2018, 6, 14, 15, 45, 28, 100000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971329.103, datetime.datetime(2018, 6, 14, 15, 45, 29, 103000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971330.105, datetime.datetime(2018, 6, 14, 15, 45, 30, 105000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971331.113, datetime.datetime(2018, 6, 14, 15, 45, 31, 113000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971332.115, datetime.datetime(2018, 6, 14, 15, 45, 32, 115000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971333.117, datetime.datetime(2018, 6, 14, 15, 45, 33, 117000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971334.135, datetime.datetime(2018, 6, 14, 15, 45, 34, 135000)]
